x,y,sensor30,sensor70,sensor110,sensor150
96.0,0.0,425.27, 132.52, 139.64, 127.64
96.0,12.0,453.19, 115.31, 175.96, 132.89
96.0,24.0,345.87, 222.97, 163.96, 140.1
96.0,24.0,228.58, 326.28, 157.66, 139.91
96.0,36.0,362.01, 283.53, 150.82, 139.66
84.0,0.0,315.37, 248.1, 140.14, 132.64
84.0,12.0,274.59, 120.61, 159.63, 124.61
84.0,24.0,322.33, 240.52, 170.07, 139.91
84.0,36.0,391.3, 209.16, 175.95, 124.11
72.0,0.0,273.46, 132.09, 173.66, 139.6
72.0,0.0,257.12, 115.55, 145.96, 139.66
72.0,12.0,338.57, 275.42, 171.59, 128.38
72.0,24.0,77.52, 260.51, 195.95, 139.66
72.0,36.0,317.52, 187.17, 202.65, 125.11
72.0,48.0,290.66, 255.41, 182.98, 139.67
60.0,0.0,160.92, 293.63, 166.31, 138.17
60.0,12.0,341.96, 172.67, 201.07, 132.03
60.0,24.0,255.45, 207.87, 161.81, 135.9
60.0,36.0,283.01, 219.5, 150.85, 139.66
60.0,48.0,454.05, 125.5, 183.71, 131.16
48.0,0.0,221.56, 90.65, 209.29, 128.35
48.0,12.0,277.7, 137.03, 160.54, 139.67
48.0,24.0,344.19, 234.93, 156.56, 127.63
48.0,36.0,397.17, 167.32, 187.74, 125.61
48.0,36.0,392.65, 203.09, 173.54, 130.37
48.0,48.0,116.06, 263.5, 128.05, 131.63
48.0,48.0,380.55, 193.25, 192.96, 130.37
48.0,60.0,409.44, 241.8, 191.64, 136.65
